Rank,NSE_Symbol,Company,Weight_Percent,As_Of
1,HDFCBANK,HDFC Bank,10.27,2026-07-31
2,ICICIBANK,ICICI Bank,9.22,2026-07-31
3,RELIANCE,Reliance Industries,7.92,2026-07-31
4,BHARTIARTL,Bharti Airtel,5.37,2026-07-31
5,LT,Larsen & Toubro,4.13,2026-07-31
6,SBIN,State Bank of India,3.81,2026-07-31
7,INFY,Infosys,3.55,2026-07-31
8,AXISBANK,Axis Bank,3.16,2026-07-31
9,BAJFINANCE,Bajaj Finance,2.74,2026-07-31
10,M&M,Mahindra & Mahindra,2.72,2026-07-31
11,ITC,ITC,2.64,2026-07-31
12,TCS,Tata Consultancy Services,2.55,2026-07-31
13,KOTAKBANK,Kotak Mahindra Bank,2.36,2026-07-31
14,SUNPHARMA,Sun Pharmaceutical Industries,1.80,2026-07-31
15,HINDUNILVR,Hindustan Unilever,1.78,2026-07-31
16,MARUTI,Maruti Suzuki India,1.66,2026-07-31
17,HCLTECH,HCL Technologies,1.55,2026-07-31
18,NTPC,NTPC,1.42,2026-07-31
19,TITAN,Titan Company,1.39,2026-07-31
20,BAJAJ-AUTO,Bajaj Auto,1.36,2026-07-31
21,BEL,Bharat Electronics,1.24,2026-07-31
22,ULTRACEMCO,UltraTech Cement,1.23,2026-07-31
23,ADANIPORTS,Adani Ports and SEZ,1.20,2026-07-31
24,ETERNAL,Eternal,1.18,2026-07-31
25,BAJAJFINSV,Bajaj Finserv,1.17,2026-07-31
26,POWERGRID,Power Grid Corporation,1.15,2026-07-31
27,ONGC,Oil and Natural Gas Corporation,1.12,2026-07-31
28,JSWSTEEL,JSW Steel,1.10,2026-07-31
29,HINDALCO,Hindalco Industries,1.08,2026-07-31
30,ADANIENT,Adani Enterprises,1.06,2026-07-31
31,COALINDIA,Coal India,1.02,2026-07-31
32,SHRIRAMFIN,Shriram Finance,1.01,2026-07-31
33,GRASIM,Grasim Industries,0.95,2026-07-31
34,EICHERMOT,Eicher Motors,0.94,2026-07-31
35,INDIGO,InterGlobe Aviation,0.93,2026-07-31
36,TECHM,Tech Mahindra,0.84,2026-07-31
37,TRENT,Trent,0.83,2026-07-31
38,ASIANPAINT,Asian Paints,0.82,2026-07-31
39,TATASTEEL,Tata Steel,0.81,2026-07-31
40,SBILIFE,SBI Life Insurance,0.80,2026-07-31
41,APOLLOHOSP,Apollo Hospitals Enterprise,0.79,2026-07-31
42,JIOFIN,Jio Financial Services,0.77,2026-07-31
43,DRREDDY,Dr. Reddy's Laboratories,0.73,2026-07-31
44,CIPLA,Cipla,0.72,2026-07-31
45,MAXHEALTH,Max Healthcare Institute,0.67,2026-07-31
46,HDFCLIFE,HDFC Life Insurance,0.65,2026-07-31
47,TATACONSUM,Tata Consumer Products,0.62,2026-07-31
48,TMPV,Tata Motors Passenger Vehicles,0.61,2026-07-31
49,WIPRO,Wipro,0.53,2026-07-31
