Broker,Segment,Charge Type,Value
Fyers,Mutual Funds & IPO,Brokerage,Zero
Fyers,Equity Delivery,Brokerage,20 or 0.3% per order (whichever lower)
Fyers,Equity Intraday,Brokerage,20 or 0.03% per order (whichever lower)
Fyers,Equity MTF,Brokerage,20 or 0.3% per order (whichever lower)
Fyers,Options,Brokerage,Flat 20 per executed order
Fyers,Futures,Brokerage,20 or 0.03% per order (whichever lower)
Fyers,General,Call & Trade,50 + GST per executed order
Fyers,General,Admin Square Off,50 + GST per executed order
Fyers,General,Physical Contract Note,20 per note + courier
Fyers,General,Physical Delivery,20 per order or 0.3% (whichever lower)
Fyers,General,OFS/Buyback,20 per order or 0.3% (whichever lower)
Fyers,General,Expired/Exercised/Assigned F&O,0
Fyers,General,Cheque Bounce,0
Fyers,General,Payment Gateway,0
Fyers,General,Interest on Ledger Debit,0.041% per day
Fyers,General,Interest on Cash-to-Collateral Violation,0.041% per day
Fyers,MTF Interest,Funding up to 1000,0% p.a.
Fyers,MTF Interest,Funding 1000.01-100000,16.49% p.a.
Fyers,MTF Interest,Funding 100000.01-1000000,15.49% p.a.
Fyers,MTF Interest,Funding 1000000.01-2500000,14.49% p.a.
Fyers,MTF Interest,Funding above 2500000,12.49% p.a.
Fyers,DP Charges,Account Opening,0
Fyers,DP Charges,Demat AMC,0
Fyers,DP Charges,Debit Charges (Sell),12.5 + GST per scrip
Fyers,DP Charges,Credit Charges (Buy),0
Fyers,DP Charges,Margin Pledge Request,5 + GST
Fyers,DP Charges,Margin Unpledge Request,0
Fyers,DP Charges,Margin Pledge Invocation,5 + GST
Fyers,DP Charges,Margin Re-pledge,1 + GST
Fyers,DP Charges,MTF Pledge Request,12 + GST
Fyers,DP Charges,MTF Unpledge Request,12 + GST
Fyers,DP Charges,Dematerialization,0
Fyers,DP Charges,Erroneous Transfer Reversal,100 + GST per transaction
Fyers,DP Charges,DDPI Offline,150 incl GST
Fyers,DP Charges,DDPI Online,0
Fyers,Equity Delivery,STT/CTT,0.1% on buy and sell
Fyers,Equity Intraday,STT/CTT,0.025% on sell
Fyers,Futures,STT/CTT,0.05% on sell
Fyers,Options,STT/CTT,0.15% on sell (premium) / on exercise
Fyers,Equity Delivery,Exchange Txn Charges NSE,0.0030699%
Fyers,Equity Intraday,Exchange Txn Charges NSE,0.0030699%
Fyers,Futures,Exchange Txn Charges NSE,0.0018299%
Fyers,Options,Exchange Txn Charges NSE,0.0355299% on premium
Fyers,Equity Delivery,Exchange Txn Charges BSE,0.00375%
Fyers,Equity Intraday,Exchange Txn Charges BSE,0.00375%
Fyers,Futures,Exchange Txn Charges BSE,0.0325% (Sensex/Bankex) / 0.005% (Sensex50/Stock)
Fyers,Options,Exchange Txn Charges BSE,0.0325% (Sensex/Bankex) / 0.005% (Sensex50/Stock)
Fyers,All Equity Segments,SEBI Turnover Fee,10 per Crore
Fyers,All Equity Segments,GST,18% on (Brokerage+Txn Charges+Clearing+SEBI+NSE IPFT)
Fyers,Equity Delivery,Stamp Duty,0.015% on buy value
Fyers,Equity Intraday,Stamp Duty,0.003% on buy value
Fyers,Futures,Stamp Duty,0.002% on buy value
Fyers,Options,Stamp Duty,0.003% on buy value
Fyers,All Equity Segments,NSE IPFT,0.01 per Crore (Options: per Crore on premium)
Fyers,Futures,Clearing Charges,0.0005%
Fyers,Options,Clearing Charges,0.009%
Fyers,Currency Futures,Brokerage,implied same as F&O flat 20/0.03%
Fyers,Currency Futures,STT/CTT,0
Fyers,Currency Options,STT/CTT,0
Fyers,Currency Futures,Exchange Txn Charges NSE,0.00035%
Fyers,Currency Options,Exchange Txn Charges NSE,0.0311%
Fyers,Currency Futures,Exchange Txn Charges BSE,0.00045%
Fyers,Currency Options,Exchange Txn Charges BSE,0.001%
Fyers,Currency Futures,Stamp Duty,0.0001% on buy value
Fyers,Currency Options,Stamp Duty,0.0001% on buy value
Fyers,Currency Futures,NSE IPFT,5 per Crore
Fyers,Currency Options,NSE IPFT,200 per Crore
Fyers,Currency Futures,Clearing Charges,0.0005%
Fyers,Currency Options,Clearing Charges NSE,0.009%
Fyers,Currency Options,Clearing Charges BSE,0.0005%
Fyers,Commodity Futures,STT/CTT,0
Fyers,Commodity Options,STT/CTT,0
Fyers,Commodity Futures,Exchange Txn Charges NSE,0.00035%
Fyers,Commodity Options,Exchange Txn Charges NSE,0.0311%
Fyers,Commodity Futures,Exchange Txn Charges BSE,0.00045%
Fyers,Commodity Options,Exchange Txn Charges BSE,0.001%
Fyers,Commodity Futures,Stamp Duty,0.0001% on buy value
Fyers,Commodity Options,Stamp Duty,0.0001% on buy value
Fyers,Commodity Futures,NSE IPFT,5 per Crore
Fyers,Commodity Options,NSE IPFT,200 per Crore
Fyers,Commodity Futures,Clearing Charges,0.0005%
Fyers,Commodity Options,Clearing Charges NSE,0.009%
Fyers,Commodity Options,Clearing Charges BSE,0.0005%
Zerodha,Equity Delivery,Brokerage,Zero
Zerodha,Equity Intraday,Brokerage,0.03% or 20/order (whichever lower)
Zerodha,Futures,Brokerage,0.03% or 20/order (whichever lower)
Zerodha,Options,Brokerage,Flat 20 per executed order
Zerodha,Direct MF,Brokerage,Zero
Zerodha,Equity Delivery,STT/CTT,0.1% on buy and sell
Zerodha,Equity Intraday,STT/CTT,0.025% on sell
Zerodha,Futures,STT/CTT,0.05% on sell
Zerodha,Options,STT/CTT,0.15% on exercised intrinsic value / on sell premium
Zerodha,Equity Delivery,Exchange Txn Charges NSE,0.00307%
Zerodha,Equity Intraday,Exchange Txn Charges NSE,0.00307%
Zerodha,Futures,Exchange Txn Charges NSE,0.00183%
Zerodha,Options,Exchange Txn Charges NSE,0.03553% on premium
Zerodha,Equity Delivery,Exchange Txn Charges BSE,0.00375%
Zerodha,Equity Intraday,Exchange Txn Charges BSE,0.00375%
Zerodha,Futures,Exchange Txn Charges BSE,0%
Zerodha,Options,Exchange Txn Charges BSE,0.0325% on premium
Zerodha,All Equity Segments,GST,18% on (brokerage+SEBI+txn charges)
Zerodha,All Equity Segments,SEBI Charges,10 per Crore
Zerodha,Equity Delivery,Stamp Charges,0.015% or 1500/crore on buy
Zerodha,Equity Intraday,Stamp Charges,0.003% or 300/crore on buy
Zerodha,Futures,Stamp Charges,0.002% or 200/crore on buy
Zerodha,Options,Stamp Charges,0.003% or 300/crore on buy
Zerodha,Account Opening,Individual,Free
Zerodha,Account Opening,Minor,Free
Zerodha,Account Opening,NRI,500
Zerodha,Account Opening,HUF,Free online / 500 offline
Zerodha,Account Opening,Partnership/LLP/Corporate,500 (offline only)
