S.No.,SYMBOL    ,VOL_FRZ_QTY    
1    ,BANKNIFTY ,600            
2    ,FINNIFTY  ,1200           
3    ,MIDCPNIFTY,2800           
4    ,NIFTY     ,1800           
5    ,NIFTYNXT50,600            
6    ,360ONE    ,20000          
7    ,ABB       ,5000           
8    ,ABCAPITAL ,93000          
9    ,ADANIENSOL,27000          
10   ,ADANIENT  ,9270           
11   ,ADANIGREEN,24000          
12   ,ADANIPORTS,14250          
13   ,ALKEM     ,5000           
14   ,AMBER     ,3000           
15   ,AMBUJACEM ,42000          
16   ,ANGELONE  ,10000          
17   ,APLAPOLLO ,14000          
18   ,APOLLOHOSP,3750           
19   ,ASHOKLEY  ,150000         
20   ,ASIANPAINT,10000          
21   ,ASTRAL    ,17000          
22   ,AUBANK    ,30000          
23   ,AUROPHARMA,22000          
24   ,AXISBANK  ,18750          
25   ,BAJAJ-AUTO,3000           
26   ,BAJAJFINSV,12500          
27   ,BAJFINANCE,22500          
28   ,BANDHANBNK,144000         
29   ,BANKBARODA,87750          
30   ,BANKINDIA ,156000         
31   ,BDL       ,14000          
32   ,BEL       ,57000          
33   ,BHARATFORG,20000          
34   ,BHARTIARTL,14250          
35   ,BHEL      ,78750          
36   ,BIOCON    ,75000          
37   ,BLUESTARCO,13000          
38   ,BOSCHLTD  ,750            
39   ,BPCL      ,59250          
40   ,BRITANNIA ,3750           
41   ,BSE       ,7500           
42   ,CAMS      ,30000          
43   ,CANBK     ,202500         
44   ,CDSL      ,14250          
45   ,CGPOWER   ,34000          
46   ,CHOLAFIN  ,12500          
47   ,CIPLA     ,15000          
48   ,COALINDIA ,67500          
49   ,COFORGE   ,15000          
50   ,COLPAL    ,11250          
51   ,CONCOR    ,50000          
52   ,CROMPTON  ,90000          
53   ,CUMMINSIND,6000           
54   ,CYIENT    ,21250          
55   ,DABUR     ,50000          
56   ,DALBHARAT ,13000          
57   ,DELHIVERY ,62250          
58   ,DIVISLAB  ,4000           
59   ,DIXON     ,1500           
60   ,DLF       ,33000          
61   ,DMART     ,6000           
62   ,DRREDDY   ,18750          
63   ,EICHERMOT ,4000           
64   ,ETERNAL   ,72750          
65   ,EXIDEIND  ,72000          
66   ,FEDERALBNK,100000         
67   ,FORTIS    ,23250          
68   ,GAIL      ,126000         
69   ,GLENMARK  ,11250          
70   ,GMRAIRPORT,209250         
71   ,GODREJCP  ,20000          
72   ,GODREJPROP,11000          
73   ,GRASIM    ,10000          
74   ,HAL       ,4500           
75   ,HAVELLS   ,15000          
76   ,HCLTECH   ,14000          
77   ,HDFCAMC   ,9000           
78   ,HDFCBANK  ,27500          
79   ,HDFCLIFE  ,33000          
80   ,HEROMOTOCO,4500           
81   ,HFCL      ,285000         
82   ,HINDALCO  ,28000          
83   ,HINDPETRO ,60750          
84   ,HINDUNILVR,9000           
85   ,HINDZINC  ,49000          
86   ,HUDCO     ,111000         
87   ,ICICIBANK ,21000          
88   ,ICICIGI   ,13000          
