    Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
    BFO,824413,3000,WIPROPT,WIPRO25JAN325PE,09-JAN-2025,OPTSTK,PE,325,0.05,
    BFO,2028279,3000,WIPROPT,WIPRO25JAN320PE,09-JAN-2025,OPTSTK,PE,320,0.05,
    BFO,824537,3000,WIPROPT,WIPRO25JAN315PE,09-JAN-2025,OPTSTK,PE,315,0.05,
    BFO,823533,3000,WIPROPT,WIPRO25JAN312.5PE,09-JAN-2025,OPTSTK,PE,312.5,0.05,
    BFO,2029263,3000,WIPROPT,WIPRO25JAN310PE,09-JAN-2025,OPTSTK,PE,310,0.05,
    BFO,822828,3000,WIPROPT,WIPRO25JAN307.5PE,09-JAN-2025,OPTSTK,PE,307.5,0.05,
    BFO,822792,3000,WIPROPT,WIPRO25JAN305PE,09-JAN-2025,OPTSTK,PE,305,0.05,
    BFO,1167144,3000,WIPROPT,WIPRO25JAN302.5PE,09-JAN-2025,OPTSTK,PE,302.5,0.05,
    BFO,1165744,3000,WIPROPT,WIPRO25JAN300PE,09-JAN-2025,OPTSTK,PE,300,0.05,
    BFO,1165105,3000,WIPROPT,WIPRO25JAN297.5PE,09-JAN-2025,OPTSTK,PE,297.5,0.05,
    BFO,1165086,3000,WIPROPT,WIPRO25JAN295PE,09-JAN-2025,OPTSTK,PE,295,0.05,
    BFO,1159935,3000,WIPROPT,WIPRO25JAN292.5PE,09-JAN-2025,OPTSTK,PE,292.5,0.05,
    BFO,1159921,3000,WIPROPT,WIPRO25JAN290PE,09-JAN-2025,OPTSTK,PE,290,0.05,
    BFO,1159783,3000,WIPROPT,WIPRO25JAN287.5PE,09-JAN-2025,OPTSTK,PE,287.5,0.05,
    BFO,1159766,3000,WIPROPT,WIPRO25JAN285PE,09-JAN-2025,OPTSTK,PE,285,0.05,
    BFO,1159558,3000,WIPROPT,WIPRO25JAN282.5PE,09-JAN-2025,OPTSTK,PE,282.5,0.05,
    BFO,1157523,3000,WIPROPT,WIPRO25JAN280PE,09-JAN-2025,OPTSTK,PE,280,0.05,
    BFO,1151927,3000,WIPROPT,WIPRO25JAN277.5PE,09-JAN-2025,OPTSTK,PE,277.5,0.05,
    BFO,1151691,3000,WIPROPT,WIPRO25JAN275PE,09-JAN-2025,OPTSTK,PE,275,0.05,
    BFO,1154263,3000,WIPROPT,WIPRO25JAN272.5PE,09-JAN-2025,OPTSTK,PE,272.5,0.05,
    BFO,1153942,3000,WIPROPT,WIPRO25JAN270PE,09-JAN-2025,OPTSTK,PE,270,0.05,
    BFO,1155825,3000,WIPROPT,WIPRO25JAN267.5PE,09-JAN-2025,OPTSTK,PE,267.5,0.05,
    BFO,1155666,3000,WIPROPT,WIPRO25JAN265PE,09-JAN-2025,OPTSTK,PE,265,0.05,
    BFO,1157266,3000,WIPROPT,WIPRO25JAN262.5PE,09-JAN-2025,OPTSTK,PE,262.5,0.05,
    BFO,1157114,3000,WIPROPT,WIPRO25JAN260PE,09-JAN-2025,OPTSTK,PE,260,0.05,
    BFO,1158748,3000,WIPROPT,WIPRO25JAN257.5PE,09-JAN-2025,OPTSTK,PE,257.5,0.05,
    BFO,1158590,3000,WIPROPT,WIPRO25JAN255PE,09-JAN-2025,OPTSTK,PE,255,0.05,
